dataset,root,pair,condition,time_s
native_serving_paired,serving,1,valid_bytecode,44.618814007844776
native_serving_paired,serving,1,no_initial_bytecode,54.7488415739499
native_serving_paired,serving,2,valid_bytecode,47.69106455985457
native_serving_paired,serving,2,no_initial_bytecode,57.03940197173506
native_serving_paired,serving,3,valid_bytecode,48.40544155612588
native_serving_paired,serving,3,no_initial_bytecode,60.63873178977519
fresh_process_import_pairs,torch,1,valid_bytecode,0.7996421339921653
fresh_process_import_pairs,torch,2,valid_bytecode,0.8024913389235735
fresh_process_import_pairs,torch,3,valid_bytecode,0.819445138797164
fresh_process_import_pairs,torch,1,no_initial_bytecode,2.0274842618964612
fresh_process_import_pairs,torch,2,no_initial_bytecode,2.1305899606086314
fresh_process_import_pairs,torch,3,no_initial_bytecode,2.157925048843026
fresh_process_import_pairs,transformers,1,valid_bytecode,0.6730392170138657
fresh_process_import_pairs,transformers,2,valid_bytecode,0.6925169290043414
fresh_process_import_pairs,transformers,3,valid_bytecode,0.6759814117103815
fresh_process_import_pairs,transformers,1,no_initial_bytecode,1.2431127508170903
fresh_process_import_pairs,transformers,2,no_initial_bytecode,1.294321175199002
fresh_process_import_pairs,transformers,3,no_initial_bytecode,1.3720129798166454
fresh_process_import_pairs,vllm,1,valid_bytecode,2.061750660184771
fresh_process_import_pairs,vllm,2,valid_bytecode,2.106786096934229
fresh_process_import_pairs,vllm,3,valid_bytecode,2.162029709201306
fresh_process_import_pairs,vllm,1,no_initial_bytecode,6.498079162091017
fresh_process_import_pairs,vllm,2,no_initial_bytecode,6.707471272908151
fresh_process_import_pairs,vllm,3,no_initial_bytecode,6.90405880799517
fresh_process_import_pairs,serve_cli,1,valid_bytecode,4.991217206697911
fresh_process_import_pairs,serve_cli,2,valid_bytecode,5.0197674180381
fresh_process_import_pairs,serve_cli,3,valid_bytecode,5.122801135759801
fresh_process_import_pairs,serve_cli,1,no_initial_bytecode,12.165151939727366
fresh_process_import_pairs,serve_cli,2,no_initial_bytecode,12.26590935094282
fresh_process_import_pairs,serve_cli,3,no_initial_bytecode,12.61171375727281
